,City,Latitude,Longitude,Country,pm25_present,pm25_unit,pm25_mean,pm25_median,no2_present,no2_unit,no2_mean,no2_median,o3_present,o3_unit,o3_mean,o3_median,pm10_present,pm10_unit,pm10_mean,pm10_median,co_present,co_unit,co_mean,co_median,so2_present,so2_unit,so2_mean,so2_median,bc_present,bc_unit,bc_mean,bc_median
608,怒江州,25.8417,98.8546,CN,True,µg/m³,27.25,27.5,True,µg/m³,9.5,9.5,True,µg/m³,75.0,75.0,True,µg/m³,41.25,40.5,True,µg/m³,525.0,500.0,True,µg/m³,10.75,11.0,False,,,
609,迪庆州,27.8094,99.7056,CN,True,µg/m³,9.5,10.0,True,µg/m³,19.25,14.5,True,µg/m³,90.5,90.5,True,µg/m³,22.75,23.0,True,µg/m³,625.0,600.0,True,µg/m³,6.5,6.0,False,,,
610,昌都市,31.1254,97.1804,CN,True,µg/m³,9.75,9.5,True,µg/m³,21.25,21.0,True,µg/m³,74.0,74.0,True,µg/m³,37.75,36.0,True,µg/m³,550.0,550.0,True,µg/m³,6.0,5.5,False,,,
611,山南市,29.2313,91.7608,CN,True,µg/m³,8.5,8.5,True,µg/m³,10.0,10.0,True,µg/m³,86.0,86.0,True,µg/m³,28.0,28.0,True,µg/m³,300.0,300.0,True,µg/m³,5.0,5.0,False,,,
612,日喀则市,29.2365,88.8876,CN,True,µg/m³,28.5,29.0,True,µg/m³,16.75,16.5,True,µg/m³,83.0,83.0,True,µg/m³,56.0,51.0,True,µg/m³,1125.0,1100.0,True,µg/m³,6.5,6.5,False,,,
613,那曲地区,31.4797,92.0506,CN,True,µg/m³,11.25,11.5,True,µg/m³,4.5,5.0,True,µg/m³,43.5,43.5,True,µg/m³,29.0,30.0,True,µg/m³,650.0,700.0,True,µg/m³,3.0,3.0,False,,,
614,阿里地区,32.5,80.0895,CN,True,µg/m³,8.75,8.5,True,µg/m³,17.25,16.5,True,µg/m³,79.5,79.5,True,µg/m³,17.25,16.5,True,µg/m³,725.0,750.0,True,µg/m³,6.5,6.0,False,,,
615,林芝市,29.6376,94.3681,CN,True,µg/m³,7.75,6.5,True,µg/m³,4.5,4.5,True,µg/m³,81.0,81.0,True,µg/m³,11.666666666666666,12.0,True,µg/m³,325.0,350.0,True,µg/m³,3.25,3.0,False,,,
616,汉中市,33.0323,106.9893,CN,True,µg/m³,69.875,72.0,True,µg/m³,27.625,27.5,True,µg/m³,17.5,18.0,True,µg/m³,87.625,93.0,True,µg/m³,1175.0,1200.0,True,µg/m³,14.0,12.5,False,,,
617,榆林市,38.2478,109.7289,CN,True,µg/m³,38.0,37.0,True,µg/m³,59.75,60.5,True,µg/m³,77.0,77.0,True,µg/m³,92.875,95.5,True,µg/m³,1275.0,1200.0,True,µg/m³,18.0,16.5,False,,,
618,安康市,32.6778,109.0072,CN,True,µg/m³,27.166666666666668,27.5,True,µg/m³,18.333333333333332,22.0,True,µg/m³,48.0,43.0,True,µg/m³,44.5,51.0,True,µg/m³,800.0,750.0,True,µg/m³,16.5,16.5,False,,,
619,商洛市,33.8471,109.9154,CN,True,µg/m³,36.0,37.0,True,µg/m³,35.75,35.5,True,µg/m³,71.5,71.5,True,µg/m³,63.25,64.0,True,µg/m³,750.0,750.0,True,µg/m³,19.25,19.5,False,,,
620,白银市,36.5458,104.1731,CN,True,µg/m³,14.25,14.0,True,µg/m³,8.75,7.5,True,µg/m³,88.5,88.5,True,µg/m³,38.25,38.5,True,µg/m³,450.0,450.0,True,µg/m³,6.25,6.5,False,,,
621,天水市,34.3469,105.7281,CN,True,µg/m³,23.0,27.0,True,µg/m³,27.5,29.0,True,µg/m³,82.33333333333333,83.0,True,µg/m³,31.166666666666668,35.0,True,µg/m³,483.3333333333333,600.0,True,µg/m³,10.833333333333334,12.0,False,,,
622,武威市,37.9311,102.6219,CN,True,µg/m³,19.25,20.5,True,µg/m³,17.5,14.5,True,µg/m³,93.0,93.0,True,µg/m³,45.75,47.5,True,µg/m³,550.0,600.0,True,µg/m³,5.75,4.5,False,,,
623,张掖市,38.9389,100.4497,CN,True,µg/m³,28.0,27.0,True,µg/m³,23.0,24.5,True,µg/m³,87.0,87.0,True,µg/m³,57.25,56.5,True,µg/m³,525.0,500.0,True,µg/m³,13.25,13.5,False,,,
624,平凉市,35.5294,106.6692,CN,True,µg/m³,34.5,35.0,True,µg/m³,25.75,27.5,True,µg/m³,98.5,98.5,True,µg/m³,66.25,66.0,True,µg/m³,475.0,500.0,True,µg/m³,11.25,11.0,False,,,
625,酒泉市,39.7294,98.5023,CN,True,µg/m³,29.5,29.0,True,µg/m³,27.5,27.0,True,µg/m³,85.0,85.0,True,µg/m³,95.75,99.0,True,µg/m³,575.0,550.0,True,µg/m³,12.5,12.0,False,,,
626,庆阳市,35.5236,107.6364,CN,True,µg/m³,39.833333333333336,43.5,True,µg/m³,31.166666666666668,32.5,True,µg/m³,91.66666666666667,95.0,True,µg/m³,71.83333333333333,71.0,True,µg/m³,850.0,650.0,True,µg/m³,17.5,18.5,False,,,
627,定西市,35.5714,104.6169,CN,True,µg/m³,29.0,29.5,True,µg/m³,24.25,25.0,True,µg/m³,97.0,97.0,True,µg/m³,59.25,59.5,True,µg/m³,200.0,200.0,True,µg/m³,29.5,21.5,False,,,
628,陇南市,33.3261,104.9338889,CN,True,µg/m³,17.0,17.0,True,µg/m³,22.25,21.0,True,µg/m³,65.5,65.5,True,µg/m³,31.25,33.0,True,µg/m³,525.0,500.0,True,µg/m³,13.0,12.0,False,,,
629,临夏州,35.5997,103.2064,CN,True,µg/m³,27.5,28.5,True,µg/m³,14.0,15.0,True,µg/m³,125.0,125.0,True,µg/m³,37.0,37.0,True,µg/m³,525.0,500.0,True,µg/m³,27.0,25.5,False,,,
630,甘南州,35.0003,102.905,CN,True,µg/m³,43.0,43.0,True,µg/m³,21.5,21.5,True,µg/m³,99.0,99.0,True,µg/m³,66.5,66.5,True,µg/m³,750.0,750.0,True,µg/m³,14.5,14.5,False,,,
631,海北州,36.9639,100.9048,CN,True,µg/m³,35.5,35.5,True,µg/m³,26.5,26.5,True,µg/m³,75.0,75.0,True,µg/m³,43.0,43.0,True,µg/m³,900.0,900.0,True,µg/m³,30.5,30.5,False,,,
632,黄南州,35.5102,102.0199,CN,True,µg/m³,37.0,37.0,True,µg/m³,17.5,17.5,True,µg/m³,71.0,71.0,True,µg/m³,62.0,62.0,True,µg/m³,1100.0,1100.0,True,µg/m³,10.0,10.0,False,,,
633,海南州,36.2866,100.6188,CN,True,µg/m³,15.5,15.5,True,µg/m³,40.5,40.5,True,µg/m³,81.0,81.0,True,µg/m³,39.0,39.0,True,µg/m³,950.0,950.0,True,µg/m³,9.5,9.5,False,,,
634,果洛州,34.4714,100.2561,CN,True,µg/m³,13.5,13.5,True,µg/m³,10.5,10.5,True,µg/m³,76.0,76.0,True,µg/m³,21.5,21.5,True,µg/m³,650.0,650.0,True,µg/m³,13.0,13.0,False,,,
635,玉树州,33.0014,97.0,CN,True,µg/m³,10.0,10.0,True,µg/m³,16.5,16.5,True,µg/m³,88.0,88.0,True,µg/m³,45.0,45.0,True,µg/m³,650.0,650.0,True,µg/m³,10.5,10.5,False,,,
636,海西州,37.3753,97.3731,CN,True,µg/m³,15.5,15.5,True,µg/m³,9.5,9.5,True,µg/m³,92.0,92.0,True,µg/m³,38.5,38.5,True,µg/m³,800.0,800.0,True,µg/m³,15.0,15.0,False,,,
637,吴忠市,37.9648,106.1532,CN,True,µg/m³,39.5,40.5,True,µg/m³,50.833333333333336,51.0,True,µg/m³,76.0,75.0,True,µg/m³,98.0,100.0,True,µg/m³,1183.3333333333333,1200.0,True,µg/m³,42.166666666666664,41.0,False,,,
638,中卫市,37.0172,105.0197,CN,True,µg/m³,14.333333333333334,14.5,True,µg/m³,25.0,25.5,True,µg/m³,77.33333333333333,79.0,True,µg/m³,34.166666666666664,33.5,True,µg/m³,366.6666666666667,350.0,True,µg/m³,11.833333333333334,13.0,False,,,
639,固原市,36.0022,106.2319,CN,True,µg/m³,23.333333333333332,21.0,True,µg/m³,22.166666666666668,21.5,True,µg/m³,93.33333333333333,90.0,True,µg/m³,69.83333333333333,71.5,True,µg/m³,600.0,600.0,True,µg/m³,17.0,15.0,False,,,
640,吐鲁番地区,42.9559,89.1673,CN,True,µg/m³,29.5,29.0,True,µg/m³,22.25,22.0,True,µg/m³,66.0,66.0,True,µg/m³,38.666666666666664,40.0,True,µg/m³,1600.0,1500.0,True,µg/m³,6.0,6.0,False,,,
641,哈密地区,42.8172,93.5128,CN,True,µg/m³,11.25,11.0,True,µg/m³,15.25,13.0,True,µg/m³,41.5,38.5,True,µg/m³,15.333333333333334,16.0,True,µg/m³,1175.0,1150.0,True,µg/m³,3.75,4.0,False,,,
642,昌吉州,44.0114,87.2717,CN,True,µg/m³,21.0,27.0,True,µg/m³,21.166666666666668,20.5,True,µg/m³,70.33333333333333,70.0,True,µg/m³,52.6,65.0,True,µg/m³,1133.3333333333333,1100.0,True,µg/m³,8.5,8.5,False,,,
643,博州,44.8969,82.0485,CN,True,µg/m³,18.25,18.0,True,µg/m³,12.25,12.0,True,µg/m³,51.0,51.0,True,µg/m³,44.25,43.0,True,µg/m³,575.0,550.0,True,µg/m³,8.25,8.0,False,,,
644,阿克苏地区,41.1636,80.2828,CN,True,µg/m³,46.75,46.5,True,µg/m³,24.0,23.5,True,µg/m³,80.0,80.0,True,µg/m³,62.25,63.5,True,µg/m³,825.0,800.0,True,µg/m³,4.0,4.0,False,,,
645,克州,39.7153,76.1861,CN,True,µg/m³,25.5,25.5,True,µg/m³,2.5,2.5,True,µg/m³,92.0,92.0,True,µg/m³,40.5,40.5,True,µg/m³,650.0,650.0,True,µg/m³,3.0,3.0,False,,,
646,喀什地区,39.4365,75.9435,CN,True,µg/m³,83.5,83.0,True,µg/m³,48.25,48.0,True,µg/m³,91.5,91.5,True,µg/m³,180.25,186.5,True,µg/m³,2475.0,2450.0,True,µg/m³,7.5,7.5,False,,,
647,和田地区,37.1013,79.9117,CN,True,µg/m³,46.25,31.5,True,µg/m³,36.5,36.0,True,µg/m³,64.0,64.0,True,µg/m³,164.5,161.5,True,µg/m³,1175.0,1200.0,True,µg/m³,44.75,46.0,False,,,
648,伊犁哈萨克州,43.9404,81.2815,CN,True,µg/m³,38.0,38.5,True,µg/m³,36.833333333333336,34.0,True,µg/m³,63.666666666666664,65.0,True,µg/m³,95.5,93.0,True,µg/m³,2150.0,2250.0,True,µg/m³,8.5,7.0,False,,,
649,塔城地区,46.7432,82.9994,CN,True,µg/m³,6.5,6.5,True,µg/m³,5.5,5.5,True,µg/m³,89.0,89.0,True,µg/m³,8.5,8.5,True,µg/m³,1300.0,1300.0,True,µg/m³,2.0,2.0,False,,,
650,阿勒泰地区,47.8515,88.1267,CN,True,µg/m³,6.75,7.0,True,µg/m³,7.0,6.5,True,µg/m³,43.0,43.5,True,µg/m³,6.5,6.5,True,µg/m³,1650.0,1650.0,True,µg/m³,6.0,6.0,False,,,
651,石河子市,44.2967,86.0497,CN,True,µg/m³,39.75,40.0,True,µg/m³,26.5,26.5,True,µg/m³,48.25,48.5,True,µg/m³,55.75,55.0,True,µg/m³,675.0,650.0,True,µg/m³,5.25,5.0,False,,,
652,五家渠市,44.1756,87.5475,CN,True,µg/m³,29.0,29.0,True,µg/m³,24.5,24.5,True,µg/m³,68.0,68.0,True,µg/m³,44.5,44.5,True,µg/m³,1050.0,1050.0,True,µg/m³,5.0,5.0,False,,,
653,巴中市,31.8542,106.7417,CN,True,µg/m³,29.625,29.5,True,µg/m³,17.875,18.0,True,µg/m³,18.875,16.0,True,µg/m³,48.875,50.5,True,µg/m³,687.5,750.0,True,µg/m³,4.375,4.5,False,,,
654,安顺市,26.2431,105.8983,CN,True,µg/m³,12.625,13.0,True,µg/m³,5.375,4.5,True,µg/m³,80.5,81.5,True,µg/m³,17.75,18.0,True,µg/m³,350.0,300.0,True,µg/m³,5.25,4.5,False,,,
655,海东地区,36.5067,102.0306,CN,True,µg/m³,34.0,34.0,True,µg/m³,34.0,34.0,True,µg/m³,107.0,107.0,True,µg/m³,71.5,71.5,True,µg/m³,200.0,200.0,True,µg/m³,12.5,12.5,False,,,
656,תחנות ניידות,32.46044,35.069148,IL,False,,,,False,,,,False,,,,False,,,,True,ppm,0.5162857142857142,0.4,False,,,,False,,,
657,צפון הנגב,31.22131,34.77458,IL,False,,,,False,,,,False,,,,False,,,,True,ppm,0.5710359408033813,0.6,False,,,,False,,,
658,מישור החוף הדרומי,31.58932,34.60969,IL,False,,,,False,,,,False,,,,False,,,,True,ppm,0.47290448343079944,0.4,False,,,,False,,,
659,ירושלים,31.789032,35.202641,IL,False,,,,False,,,,False,,,,False,,,,True,ppm,0.6238493723849373,0.5,False,,,,False,,,
660,גוש דן,32.04701,34.79258,IL,False,,,,False,,,,False,,,,False,,,,True,ppm,0.5372519083969461,0.5,False,,,,False,,,
661,שרון,32.37261,34.97679,IL,False,,,,False,,,,False,,,,False,,,,True,ppm,0.36924428822495436,0.3,False,,,,False,,,
662,Ulaanbaatar,47.91786111111111,106.84806111111111,MN,True,µg/m³,-999.0,-999.0,True,µg/m³,36.5,37.5,False,,,,False,,,,False,,,,True,µg/m³,26.428571428571427,21.0,False,,,
663,חיפה וקריות,32.73827,35.02111,IL,False,,,,False,,,,False,,,,False,,,,True,ppm,0.3548710601719187,0.3,False,,,,False,,,
664,Brumunddal,60.88593,10.93785,NO,True,µg/m³,3.5,3.5,True,µg/m³,2.98793718505,2.98793718505,False,,,,True,µg/m³,4.0,4.0,False,,,,False,,,,False,,,
665,Halden,59.123314,11.391136,NO,True,µg/m³,1.95,1.95,False,,,,False,,,,True,µg/m³,2.3499999999999996,2.3499999999999996,False,,,,False,,,,False,,,
